feature,importance
TS4_first25_mean,0.0031255700793616434
TS3_last10_min,0.003087910638901101
PS5_mid50_max,0.0030635203545562946
PS5_last25_mean,0.003050321963029606
PS6_min,0.0030381006650760903
TS2_first25_mean,0.0030362976833989415
TS2_last,0.0030315470124188874
TS4_last10_max,0.0030256221644543164
TS3_last,0.003024154522580616
PS5_rms,0.0030111812580830444
PS6_rms,0.0029986619846107975
FS2_first25_max,0.0029842939515492433
TS2_min,0.002978860644378757
FS1_max,0.0029483321058314245
TS2_mid50_min,0.002907822793028604
TS4_last10_mean,0.002906344140295539
PS5_last25_max,0.0028987172400257314
TS3_mid50_max,0.0028948995364689732
TS3_last25_max,0.002891548588470201
FS2_mid50_max,0.0028854414953079503
PS6_max,0.0028811145462551563
EPS1_mid50_mean,0.002871204464844343
PS5_first25_min,0.002867329110689029
TS4_last25_mean,0.0028630602448531913
PS6_last25_mean,0.0028511918072314816
FS1_mid50_min,0.0028121651199488613
TS3_last10_max,0.0027841038729264525
TS1_last10_max,0.0027833784322969387
EPS1_first25_min,0.00277543346598799
TS2_mid50_mean,0.0027523006325439665
PS6_last25_max,0.002740472914751911
EPS1_mid50_min,0.002730832652274706
PS5_mid50_min,0.0027281286210977572
EPS1_min,0.002723672155940916
FS2_first,0.0027156407106441057
PS5_max,0.0026887750558012295
FS1_mid50_max,0.0026511388437101264
TS2_first,0.002626386827922193
PS6_mid50_min,0.0026162342708521136
PS1_mid50_mean,0.0025819835452942064
FS2_last10_max,0.002555917836475623
EPS1_last25_max,0.0025415215901060705
EPS1_mid50_max,0.002536800203711423
TS3_first25_mean,0.002513232000776704
PS3_std,0.0025096764267912098
PS2_last25_range,0.002497312332677035
FS1_first25_slope,0.0024945882596018663
PS5_first25_mean,0.002485431334764989
FS1_last25_slope,0.0024849988209870175
PS6_first25_mean,0.0024654658101644243
EPS1_rms,0.0024461058283814364
VS1_mean,0.002416140669410062
PS5_min,0.0023846452622685757
PS2_mid50_mean,0.0023233915892098816
PS1_mid50_slope,0.0023160129637071485
EPS1_mean,0.002310335145360786
EPS1_last25_mean,0.002266355767654658
PS6_last25_min,0.002255993121777534
PS5_first25_max,0.0022521709135435233
PS6_mid50_mean,0.0022498077344760693
PS5_last10_max,0.0022496011722312136
PS6_first25_max,0.002238052245848675
EPS1_max,0.002215022479731728
PS1_last25_min,0.002195116777540508
EPS1_last10_min,0.0021797842523596646
FS1_last25_max,0.0021769936483070464
SE_mid50_mean,0.002170081086790307
CE_first25_mean,0.002140865027403798
PS6_last10_min,0.002125168918828215
PS2_last10_range,0.0020725238668228697
EPS1_last10_mean,0.0020613673821350087
PS3_first25_mean,0.0020457161268909855
PS6_mean,0.002019211441374924
PS5_mean,0.0020090008964612663
SE_last10_max,0.0019756293176500387
CE_mid50_mean,0.00194503127093336
PS5_mid50_mean,0.0019342017304757987
CE_last10_max,0.0019331662683853825
SE_rms,0.001852585321719378
PS5_last10_min,0.0018494199675052295
FS1_late_mean_shift,0.0018295967417306061
EPS1_first25_max,0.0018186739550152893
FS1_rms,0.0018138845737911203
PS6_first25_min,0.00181382381485569
SE_first25_range,0.0018076228418556694
VS1_mid50_mean,0.0017955494873095916
PS2_last25_mean,0.0017854585832262138
PS3_last25_max,0.001750321662118962
CE_mean,0.0017446995342556078
CE_last10_mean,0.0017408049282664395
CE_rms,0.001736866401276911
FS2_last,0.0017080191990921764
PS3_last25_std,0.0017063338979993446
VS1_mid50_min,0.0016890797661266558
VS1_min,0.0016855616902223796
PS1_last25_mean,0.0016753019105291383
CE_first25_min,0.0016668182897364536
EPS1_first25_mean,0.001633005623782664
SE_last25_slope,0.0016010078123035677
EPS1_last,0.0015737959643136025
PS1_max,0.001563957993335998
EPS1_last10_max,0.0015416626767771786
PS2_mid50_slope,0.0015345091314099954
PS4_last25_mean,0.0015278159390223953
EPS1_first,0.0015018402420178822
TS1_first25_slope,0.0014952335108476742
VS1_last25_min,0.0014936858656223989
SE_first25_max,0.0014888470953795076
FS1_first25_mean,0.0014856576432397026
CE_first25_max,0.0014841851543357586
PS1_late_instability_shift,0.00148138075053298
PS4_first25_mean,0.001476012318974081
CE_first,0.0014729400602007206
FS1_std,0.0014636828855016698
CE_last25_mean,0.0014624184480349532
VS1_rms,0.0014612820330302731
PS5_first,0.001460614494389676
PS1_first25_std,0.0014579163191450492
PS3_mid50_mean,0.0014500522951788246
SE_last25_min,0.0014475770632732038
EPS1_cv,0.0014383857973678219
PS4_last25_min,0.001436151861951959
EPS1_last25_min,0.0014348633895097359
PS1_last25_max,0.001424137633023484
PS2_last25_max,0.0014144274327650796
PS1_min,0.00141343999555417
VS1_last25_mean,0.0014113714653754262
PS4_last10_mean,0.0014031472276216008
PS3_first25_slope,0.0013975315228438568
CE_max,0.0013930593216506036
PS6_first,0.0013882036593721612
PS1_mean,0.0013843374881797699
PS3_mean,0.0013829655012752608
SE_last,0.0013821966657888158
PS2_last10_mean,0.0013809638325532872
PS1_last10_max,0.0013718566731640493
CE_last,0.0013662789269410583
CE_last10_min,0.0013651167410537682
FS1_last10_min,0.0013587468227833222
FS1_mean,0.00135829221022612
SE_last25_mean,0.0013439549721532857
FS1_last10_mean,0.001336209802939376
SE_cv,0.0013315103561475552
VS1_last10_mean,0.0013244061999601819
FS1_last25_min,0.001315760008879521
SE_mean,0.0013130258815383837
PS1_last10_mean,0.0013030317136035988
PS2_last10_max,0.0012910893413993166
PS3_rms,0.0012663528840078644
PS5_last,0.0012550210135970868
VS1_last10_min,0.0012472707808229156
PS4_first,0.0012434904797332337
FS1_mid50_mean,0.0012288725233029249
PS4_min,0.0012267340820196634
CE_mid50_max,0.0012204637937707004
FS1_last25_mean,0.0012174973718298901
SE_last10_mean,0.0012167064862325225
SE_first,0.00120018188087186
CE_last25_max,0.001192827704630878
EPS1_late_instability_shift,0.0011874068990502004
PS4_last25_max,0.001183446373985063
PS3_range,0.0011808603446192794
PS4_mean,0.0011733422089648157
EPS1_first25_std,0.0011729797054151137
PS1_mid50_min,0.0011670216267933146
PS6_last,0.0011598246721434909
PS2_last25_min,0.001151916971303263
PS4_last10_min,0.0011449173667994533
SE_last10_min,0.001133970934038491
SE_first25_std,0.0011312812457867764
PS1_mid50_max,0.0011205325182076006
VS1_first25_min,0.0011011900765574964
CE_mid50_min,0.0010930473523258696
PS4_first25_min,0.0010902541008505056
PS3_first25_range,0.0010867756590568656
FS1_slope,0.0010847769566755755
PS3_first25_max,0.001078643504360741
PS1_first25_min,0.0010704212081488094
PS2_mid50_min,0.0010612647911301656
TS2_mid50_slope,0.001052064736174194
PS6_last25_std,0.0010491511351526134
CE_min,0.0010394805562683536
CP_last,0.0010331500966564804
CE_last25_min,0.0010299875008854716
CP_first25_max,0.001025684075401996
PS2_rms,0.0010129217623314503
PS3_max,0.0009943057612094124
PS1_first25_max,0.0009883752341917798
PS4_mid50_min,0.0009879980657876552
PS3_mid50_max,0.0009835365577909852
SE_first25_mean,0.0009776362160728823
PS1_first25_range,0.0009721616851545462
FS2_cv,0.00096358645055596
PS3_last10_mean,0.0009537121239184349
PS4_rms,0.0009508358175901089
PS1_range,0.0009489370830292395
PS5_last25_std,0.0009466550685289008
PS2_last10_min,0.0009436529771001903
PS4_last,0.0009320949772644221
EPS1_last25_range,0.0009280596095098363
PS2_mean,0.0009122474070083738
PS4_mid50_mean,0.000903849119264743
CP_mid50_mean,0.0008997577994673407
FS1_last10_max,0.0008903071649426537
PS2_first25_mean,0.0008777166884724741
PS2_mid50_max,0.000872024692439284
PS1_mid50_std,0.000867657172741688
PS3_late_mean_shift,0.0008662694200883038
PS2_cv,0.0008581545449646646
PS3_last25_mean,0.0008579894587507484
PS2_slope,0.0008570384356694587
SE_late_instability_shift,0.0008563391247928723
TS2_late_instability_shift,0.0008561280176891411
PS1_last10_min,0.0008548294437285009
CP_max,0.0008390833024505183
PS3_mid50_range,0.0008360428674517965
VS1_mid50_max,0.0008346021316666195
PS2_first25_std,0.0008299631359823583
CP_first,0.0008297986487972149
PS4_last10_max,0.0008296907702265628
FS2_mid50_std,0.0008164658106523035
PS6_last10_std,0.0008158986761750459
PS1_cv,0.0008132882707989404
PS5_last25_range,0.0008001194169188098
PS6_std,0.0007911320525180567
VS1_last25_max,0.0007832901437256299
PS4_first25_max,0.0007804268599202779
PS1_std,0.0007750703442571063
PS2_mid50_std,0.0007701644407942287
PS2_late_instability_shift,0.0007674661214928047
FS2_last25_std,0.0007636775116140274
CP_mean,0.0007622831107811884
FS2_std,0.0007598132307343043
CP_last10_mean,0.0007516158938125436
SE_std,0.0007515783992272984
CP_mid50_max,0.0007378567100101419
CP_last25_min,0.0007349902220657071
PS3_slope,0.0007344385898560849
PS1_rms,0.0007254252870543986
PS2_first25_slope,0.0007208806248462354
PS4_mid50_max,0.000705896260287564
PS3_last25_range,0.0007057082326249436
PS6_cv,0.0006974697328403191
PS2_std,0.0006905420832307357
TS2_std,0.0006835844026583676
CP_mid50_min,0.000682706536944747
CP_rms,0.0006792612249527262
TS1_first25_std,0.0006786362671215775
VS1_max,0.0006783607137479149
TS2_first25_std,0.0006769033612570916
CP_min,0.0006718390185032325
PS1_late_mean_shift,0.0006621246194119187
